x y z intensity
3.293 -2.881 -0.004 0.505
7.536 1.098 0.056 0.235
26.456 -3.750 0.580 0.421
1.504 -2.018 1.301 0.791
-14.972 3.525 0.853 0.280
6.360 2.354 0.621 0.376
-30.564 0.481 0.081 0.587
-17.825 -5.190 -0.007 0.483
23.120 5.257 0.863 0.610
-9.082 -0.443 0.755 0.398
-32.308 1.379 0.712 0.218
10.714 3.235 1.246 0.723
27.120 -3.216 1.233 0.240
-16.925 1.054 1.281 0.346
21.454 -2.406 1.319 0.387
16.066 1.574 0.011 0.716
-4.148 -0.638 1.079 0.680
15.633 5.582 1.134 0.336
-11.451 5.757 -0.082 0.732
-2.523 4.787 0.166 0.216
2.796 5.414 0.763 0.428
16.603 4.530 0.012 0.742
-29.476 -0.754 0.779 0.609
28.022 -4.131 -0.069 0.255
-20.849 -0.811 0.376 0.839
24.476 -5.034 1.013 0.474
-3.334 -1.154 -0.018 0.413
-21.236 4.241 0.507 0.306
-27.756 5.898 1.020 0.585
32.335 -2.387 0.060 0.333
14.164 1.166 0.795 0.412
-5.426 0.396 1.462 0.842
22.670 -3.628 0.663 0.604
-13.760 2.120 1.041 0.826
-26.807 -3.478 -0.048 0.819
-32.607 -2.277 0.589 0.598
-5.724 2.104 0.644 0.353
14.755 4.916 0.880 0.721
26.033 5.092 1.252 0.694
37.120 -3.509 0.455 0.738
25.178 1.525 1.318 0.237
-26.370 -3.067 0.755 0.883
31.897 -1.328 1.389 0.336
20.919 5.021 0.030 0.244
-6.304 -3.548 0.958 0.408
22.890 3.356 1.117 0.794
-12.945 1.214 1.099 0.509
37.458 -5.139 0.538 0.833
-33.154 -1.145 0.451 0.230
3.905 4.981 0.700 0.223
28.285 2.793 0.117 0.672
5.696 -5.845 0.793 0.508
-6.268 4.864 0.273 0.797
28.785 -3.914 0.902 0.880
19.165 -4.890 0.126 0.231
-28.196 4.977 0.648 0.352
-23.513 3.574 0.781 0.501
12.421 2.599 0.804 0.384
-15.669 -2.837 0.088 0.324
28.144 0.138 1.337 0.806
6.903 -4.075 0.642 0.395
-2.783 -5.372 0.820 0.756
-37.080 2.952 0.206 0.363
-27.147 0.453 0.673 0.897
-21.454 -4.788 0.176 0.748
39.996 -4.943 0.401 0.222
-19.653 2.665 0.057 0.402
-29.476 0.037 0.241 0.320
11.238 -3.445 0.598 0.521
26.111 5.300 0.893 0.583
-9.762 1.928 1.147 0.512
-25.908 1.611 0.548 0.586
34.457 -4.777 0.842 0.416
-39.262 4.581 0.385 0.237
-27.107 -0.595 1.172 0.832
-19.010 2.602 1.093 0.826
-24.100 0.454 1.164 0.538
32.111 0.378 -0.032 0.283
-14.967 -2.985 1.016 0.660
39.761 4.966 1.469 0.625
-13.640 -4.712 0.897 0.430
-26.790 3.846 0.844 0.731
-38.477 2.088 0.680 0.625
18.292 -5.694 -0.028 0.231
31.862 -5.508 0.451 0.557
-31.490 3.416 0.824 0.358
-21.904 -1.081 1.260 0.218
-35.685 -0.875 1.477 0.704
-4.579 -5.336 -0.078 0.581
15.751 3.619 0.206 0.707
34.688 -4.586 0.011 0.688
-28.293 -0.772 0.104 0.462
-28.883 4.171 0.550 0.261
-3.212 -0.933 0.761 0.658
-22.904 -2.822 1.168 0.506
30.213 -4.704 0.684 0.620
-18.719 -3.142 0.154 0.230
-15.121 0.044 0.661 0.520
15.829 -4.380 0.641 0.371
38.587 -2.631 0.880 0.204
11.827 -0.553 -0.082 0.769
3.442 1.680 0.524 0.736
-29.866 -0.341 0.390 0.721
-16.421 2.711 1.192 0.803
-2.328 4.857 0.001 0.824
2.516 0.788 1.069 0.799
-25.326 -2.967 0.063 0.651
4.691 -1.197 0.022 0.581
14.509 4.573 0.735 0.611
18.668 -2.282 1.216 0.810
14.468 4.422 1.312 0.254
1.576 -5.712 0.960 0.622
36.967 -2.176 0.315 0.249
-3.451 2.603 0.663 0.266
6.652 4.372 1.022 0.237
-0.271 -0.215 1.294 0.538
-1.354 1.838 1.167 0.373
25.110 3.391 0.208 0.654
-18.886 -4.096 -0.071 0.389
36.405 5.104 1.448 0.814
-28.479 4.066 0.107 0.873
2.690 -1.103 1.031 0.754
-36.323 4.604 -0.068 0.894
-24.325 1.579 0.628 0.352
19.871 1.673 0.952 0.806
6.613 -3.581 0.524 0.339
-26.887 -1.185 0.857 0.822
-39.027 -3.727 0.412 0.769
23.746 1.802 0.543 0.359
22.016 4.518 0.877 0.666
-17.666 -3.297 0.735 0.831
10.084 -5.361 0.342 0.775
9.047 -1.580 0.909 0.709
-14.353 -2.086 0.263 0.580
23.947 -5.502 0.477 0.494
-31.113 -5.256 1.319 0.215
-29.384 3.927 -0.039 0.322
16.932 -0.602 1.285 0.523
33.100 -2.093 0.275 0.449
25.362 -2.266 0.145 0.634
-18.107 -0.774 0.766 0.477
18.076 -5.412 0.391 0.348
-11.928 -5.795 0.911 0.576
-10.243 -1.316 0.866 0.296
38.926 5.028 0.363 0.762
32.786 1.591 1.439 0.766
-33.371 1.243 0.349 0.252
-14.514 2.071 1.269 0.544
37.890 -5.729 0.631 0.325
-23.499 4.841 1.387 0.645
-39.891 2.414 1.230 0.863
-31.710 0.005 0.294 0.250
19.929 -5.214 1.057 0.740
32.282 -4.405 1.090 0.266
1.377 1.132 1.141 0.532
10.056 -0.565 1.108 0.218
31.614 0.093 1.490 0.487
-21.971 5.689 0.464 0.668
-26.262 3.932 0.377 0.390
-6.350 -5.531 0.328 0.424
-20.873 2.794 1.113 0.782
-39.028 -4.729 1.212 0.377
-27.844 -0.419 0.591 0.286
-32.698 5.303 1.410 0.795
34.016 -4.585 1.487 0.382
37.069 -0.382 0.656 0.331
26.912 1.701 0.264 0.458
-22.514 4.401 1.065 0.339
-28.433 -4.409 0.053 0.654
-17.226 1.478 0.406 0.892
-6.951 0.361 1.427 0.560
11.551 -2.366 0.972 0.780
-2.961 5.363 0.395 0.708
-23.989 -2.219 0.738 0.449
-16.950 0.707 0.151 0.728
-34.779 4.037 1.427 0.245
30.091 -4.957 0.546 0.762
-0.744 0.471 0.769 0.856
27.672 -2.658 1.043 0.397
-27.069 3.578 -0.043 0.731
19.610 -0.988 1.226 0.452
-4.251 2.286 0.841 0.748
-6.034 -4.740 1.431 0.466
14.858 -0.537 1.358 0.367
24.936 -2.757 1.255 0.826
12.145 3.219 0.254 0.526
5.067 -4.107 0.040 0.431
0.788 -0.786 0.604 0.526
-38.046 0.602 1.068 0.282
17.216 -4.291 0.708 0.518
39.323 5.339 0.955 0.400
13.831 4.225 0.212 0.626
19.873 -1.031 1.109 0.595
-5.655 2.851 0.827 0.664
21.317 4.588 0.474 0.290
33.743 -0.785 0.618 0.826
-33.077 2.457 0.577 0.523
7.158 0.417 0.058 0.767
-6.326 -2.253 0.240 0.636
-19.185 -2.172 1.292 0.648
38.799 -5.787 1.394 0.563
-1.220 1.193 1.466 0.494
21.734 5.423 1.017 0.601
-16.457 3.550 1.360 0.283
15.477 3.610 0.325 0.611
14.372 -3.306 0.260 0.465
26.231 -3.906 0.692 0.488
24.998 -3.219 1.403 0.880
-23.123 -2.021 1.262 0.649
-2.042 5.430 1.401 0.862
17.499 2.159 1.437 0.854
8.970 -5.336 0.091 0.475
-21.016 -5.632 1.364 0.878
28.683 4.082 -0.068 0.619
-22.581 0.970 0.532 0.463
