x,y,z,intensity,semantic_class
7.294,0.074,0.008,0.584,0
-17.847,1.371,-0.004,0.392,0
-11.186,0.714,0.014,0.510,0
-12.625,0.075,-0.013,0.563,0
-12.964,-2.117,0.018,0.621,0
12.484,3.307,0.027,0.663,0
16.934,-6.696,-0.012,0.537,0
-8.937,-0.665,-0.013,0.525,0
12.790,0.720,-0.031,0.614,0
15.596,5.442,0.006,0.393,0
0.519,-1.456,0.043,0.486,0
-10.201,-0.732,-0.006,0.409,0
12.970,0.025,-0.001,0.392,0
-11.449,6.116,-0.036,0.596,0
9.659,3.181,-0.014,0.311,0
5.198,-0.091,0.018,0.487,0
17.096,-3.664,0.022,0.530,0
-10.724,7.686,0.018,0.557,0
11.965,-1.956,0.025,0.633,0
0.727,-2.332,-0.005,0.619,0
-10.738,-2.273,-0.009,0.373,0
-13.364,-5.384,0.038,0.411,0
-0.088,0.071,-0.015,0.611,0
3.309,-5.485,-0.002,0.697,0
-12.626,-3.794,-0.002,0.381,0
-19.404,4.065,-0.008,0.694,0
-1.155,-5.717,-0.004,0.368,0
9.130,-7.217,-0.004,0.504,0
16.744,6.351,0.006,0.349,0
5.021,-5.344,-0.003,0.602,0
16.685,-6.308,0.022,0.381,0
14.588,1.236,-0.005,0.455,0
-11.274,-0.075,-0.003,0.385,0
14.645,-3.692,0.005,0.379,0
9.230,-6.799,-0.031,0.338,0
-8.885,4.810,-0.014,0.337,0
11.882,2.206,0.014,0.690,0
14.609,-5.687,0.007,0.623,0
-8.022,-3.370,0.002,0.563,0
1.082,5.264,0.008,0.524,0
-17.141,6.500,-0.022,0.368,0
3.330,0.560,0.004,0.356,0
-10.484,-4.986,-0.012,0.641,0
10.599,-7.775,0.008,0.637,0
-13.055,-6.050,0.033,0.408,0
-7.490,5.658,-0.025,0.426,0
-19.421,3.831,0.032,0.343,0
-18.698,-3.909,-0.012,0.363,0
-0.132,-0.056,0.011,0.530,0
-1.267,-5.733,-0.019,0.379,0
-14.892,-6.226,-0.006,0.367,0
-9.697,-7.637,-0.023,0.569,0
-19.873,0.111,0.025,0.636,0
-4.757,3.397,0.041,0.389,0
3.035,-7.018,-0.011,0.443,0
-2.908,-1.508,-0.007,0.581,0
13.404,1.206,0.024,0.397,0
4.660,-1.159,-0.016,0.432,0
-9.357,-7.373,-0.026,0.332,0
12.441,-2.254,0.014,0.518,0
-0.021,1.720,0.000,0.680,0
10.352,-4.640,0.026,0.480,0
2.644,2.201,0.000,0.590,0
-2.502,-0.512,-0.034,0.607,0
-4.154,2.687,0.039,0.309,0
-19.111,0.255,-0.007,0.476,0
-1.226,-7.724,0.013,0.349,0
4.942,7.854,0.001,0.411,0
17.845,2.620,-0.025,0.649,0
-2.587,-7.574,-0.036,0.361,0
-0.574,-2.730,0.025,0.642,0
0.765,-4.740,0.012,0.310,0
-3.656,0.405,0.037,0.477,0
3.152,0.348,0.004,0.507,0
-17.186,-2.212,0.004,0.310,0
-0.465,3.223,-0.008,0.661,0
4.406,5.771,-0.032,0.542,0
9.755,-3.464,0.015,0.505,0
-2.807,-6.438,-0.004,0.547,0
-7.888,7.962,0.001,0.386,0
-19.764,5.430,0.003,0.560,0
10.259,-3.374,0.026,0.549,0
-16.897,1.622,-0.003,0.607,0
-0.400,-6.755,-0.013,0.609,0
-7.826,7.341,0.000,0.548,0
13.633,-3.275,0.038,0.485,0
18.019,-3.625,0.006,0.362,0
-7.245,-4.558,0.003,0.529,0
15.911,-4.278,-0.006,0.301,0
-6.499,6.393,-0.006,0.654,0
12.484,-3.811,-0.021,0.525,0
11.954,-1.122,-0.011,0.430,0
6.211,0.149,0.003,0.576,0
-10.852,4.428,-0.024,0.442,0
-14.493,7.468,-0.004,0.502,0
-3.025,6.452,-0.024,0.439,0
-13.938,0.345,-0.017,0.625,0
14.931,3.230,-0.009,0.443,0
-12.835,-4.024,-0.000,0.365,0
-18.788,0.773,-0.002,0.349,0
2.370,-4.963,0.027,0.646,0
-2.848,-6.140,0.025,0.645,0
14.344,-6.767,-0.004,0.443,0
-13.567,4.770,-0.004,0.459,0
-5.586,-3.081,-0.015,0.589,0
5.620,6.939,0.033,0.464,0
17.243,3.352,0.024,0.481,0
-9.528,1.654,-0.020,0.481,0
7.524,-2.520,-0.002,0.509,0
-14.038,-1.763,0.027,0.447,0
9.606,5.025,-0.008,0.378,0
-8.273,0.778,-0.009,0.486,0
-10.250,2.863,0.020,0.638,0
-10.807,0.446,-0.012,0.634,0
-5.174,6.760,0.044,0.408,0
-6.858,-0.565,0.007,0.575,0
4.506,4.437,-0.009,0.381,0
1.789,2.622,-0.055,0.464,0
9.986,4.109,0.016,0.596,0
-8.202,-1.800,-0.027,0.401,0
18.422,-2.573,0.007,0.591,0
1.739,-1.448,0.007,0.637,0
7.177,-7.202,0.011,0.473,0
7.530,-6.926,-0.031,0.338,0
-13.908,5.949,-0.014,0.636,0
-14.199,3.432,0.011,0.351,0
-1.518,5.944,0.012,0.559,0
0.877,-0.466,0.030,0.612,0
-9.118,-2.585,-0.014,0.603,0
-12.795,-4.907,-0.027,0.604,0
0.157,-7.855,-0.032,0.346,0
6.386,-7.808,0.002,0.310,0
-10.850,5.203,0.022,0.426,0
-11.263,-7.447,-0.010,0.570,0
18.196,-5.999,-0.012,0.665,0
8.996,7.473,0.017,0.303,0
-18.627,-6.476,0.001,0.633,0
19.265,-6.191,-0.005,0.482,0
-19.660,5.856,-0.010,0.563,0
-9.402,5.708,0.002,0.490,0
16.693,2.147,-0.006,0.380,0
-16.784,0.349,0.010,0.470,0
14.189,-7.620,-0.016,0.346,0
-14.213,-7.287,0.005,0.647,0
-12.830,-6.121,-0.016,0.449,0
11.387,5.447,-0.025,0.677,0
15.817,0.892,0.015,0.427,0
-1.571,4.096,-0.003,0.360,0
-18.461,1.969,-0.013,0.570,0
-7.388,-4.369,-0.023,0.537,0
-19.388,1.641,-0.008,0.501,0
-6.033,-6.721,0.024,0.692,0
6.372,-3.591,0.005,0.629,0
-9.391,3.782,0.021,0.442,0
6.081,-2.932,0.013,0.694,0
17.099,-1.782,0.024,0.414,0
-1.354,-2.971,0.004,0.681,0
-11.716,3.283,0.016,0.543,0
16.909,7.939,-0.034,0.649,0
17.834,5.014,0.007,0.318,0
-14.604,-7.519,-0.040,0.359,0
15.986,-2.496,0.018,0.652,0
-8.314,2.915,0.054,0.454,0
-14.873,-0.359,-0.005,0.540,0
-15.277,-6.259,0.029,0.602,0
10.378,6.868,0.018,0.436,0
-16.462,-6.131,-0.004,0.482,0
10.526,1.777,-0.009,0.336,0
-10.415,7.119,0.011,0.358,0
-3.249,-4.539,0.003,0.594,0
-14.279,-5.790,0.003,0.523,0
6.107,-4.289,-0.003,0.664,0
-1.689,4.693,-0.007,0.549,0
-4.247,4.555,-0.018,0.524,0
12.187,7.396,-0.031,0.437,0
-1.639,7.649,-0.002,0.596,0
7.663,-3.894,0.007,0.621,0
11.280,-3.954,-0.028,0.393,0
4.595,5.740,-0.015,0.374,0
18.456,-4.033,-0.032,0.560,0
2.035,5.209,0.016,0.418,0
-11.239,1.176,0.021,0.479,0
1.675,0.303,-0.011,0.667,0
-10.218,5.676,-0.002,0.397,0
-16.667,1.082,0.006,0.429,0
10.254,4.352,-0.005,0.387,0
-9.420,5.526,0.011,0.301,0
-7.454,-3.939,0.036,0.546,0
19.534,6.830,0.020,0.498,0
-3.978,-1.563,0.016,0.495,0
-2.348,-1.521,0.037,0.453,0
16.824,6.345,-0.025,0.439,0
11.603,-1.537,0.007,0.375,0
14.379,-4.060,-0.033,0.459,0
-1.266,2.614,0.035,0.352,0
-11.500,4.753,0.015,0.586,0
-17.374,-6.050,-0.002,0.437,0
-16.807,-7.605,-0.009,0.486,0
-14.520,-2.496,-0.011,0.548,0
-9.226,1.835,-0.006,0.654,0
11.095,-4.060,-0.032,0.318,0
-10.819,-6.141,-0.010,0.582,0
-3.128,-7.052,-0.010,0.664,0
-1.675,6.979,-0.017,0.556,0
-7.613,-5.106,-0.011,0.525,0
-12.920,-5.503,-0.005,0.561,0
-9.279,-2.748,0.005,0.507,0
14.094,2.001,0.016,0.574,0
19.763,7.361,-0.008,0.515,0
-5.173,7.687,-0.040,0.404,0
-1.530,3.818,-0.004,0.488,0
-6.600,2.218,-0.016,0.429,0
-5.382,-1.256,-0.000,0.636,0
7.487,2.256,-0.029,0.419,0
9.413,-5.514,-0.017,0.541,0
-7.318,-5.791,-0.017,0.518,0
-14.199,-0.933,0.006,0.558,0
8.301,-4.651,-0.016,0.597,0
-2.424,-5.772,-0.017,0.339,0
16.652,1.930,-0.007,0.637,0
-3.627,-3.310,0.005,0.502,0
-18.891,-0.367,-0.016,0.378,0
9.046,-0.093,-0.031,0.581,0
19.431,-5.100,-0.020,0.603,0
-1.346,-7.993,-0.002,0.663,0
18.106,-4.473,0.004,0.604,0
-13.496,-0.553,0.028,0.470,0
-11.486,-1.813,-0.026,0.448,0
-6.340,2.575,-0.017,0.372,0
-3.762,3.411,0.016,0.428,0
15.978,6.561,-0.017,0.671,0
18.900,-3.869,0.006,0.351,0
0.408,5.547,0.013,0.456,0
7.870,-0.953,-0.005,0.310,0
5.105,-5.097,0.012,0.511,0
14.421,1.035,0.032,0.331,0
-15.689,1.623,0.013,0.564,0
2.467,-6.294,0.012,0.541,0
12.333,-2.605,0.027,0.635,0
10.969,-1.425,0.025,0.576,0
10.698,-3.197,0.030,0.337,0
19.248,3.125,-0.011,0.696,0
-18.868,-5.792,-0.005,0.684,0
-15.756,-0.483,-0.013,0.575,0
-13.867,-7.868,-0.007,0.645,0
3.235,-3.308,-0.026,0.314,0
-2.767,7.558,-0.022,0.421,0
-17.435,-6.543,-0.004,0.656,0
-8.833,4.294,-0.034,0.379,0
-4.370,-0.461,-0.013,0.648,0
0.235,-4.152,-0.024,0.495,0
10.230,2.238,0.017,0.486,0
-0.439,4.349,0.021,0.446,0
13.029,-5.738,0.009,0.379,0
1.619,5.663,0.014,0.672,0
-5.713,-4.039,0.027,0.677,0
12.239,4.399,0.016,0.522,0
-12.545,-7.288,0.009,0.452,0
15.572,-3.626,-0.031,0.629,0
6.937,0.868,-0.034,0.510,0
18.135,5.820,-0.001,0.592,0
-11.606,4.388,0.019,0.592,0
-10.690,-1.332,0.003,0.363,0
-1.738,3.602,0.004,0.640,0
-14.050,0.629,-0.025,0.518,0
-18.411,-6.261,-0.013,0.639,0
-5.924,-6.679,0.028,0.662,0
10.043,-3.098,-0.007,0.444,0
15.559,-1.868,-0.006,0.655,0
-10.667,5.773,-0.018,0.465,0
17.772,2.880,0.032,0.352,0
-16.830,3.614,-0.019,0.417,0
-16.868,7.767,0.015,0.581,0
8.215,-7.334,-0.029,0.598,0
-17.288,-7.154,-0.039,0.432,0
18.826,-7.396,0.003,0.686,0
-9.032,3.778,-0.009,0.415,0
-14.851,7.341,0.022,0.606,0
10.738,-7.784,0.013,0.575,0
-3.102,-1.749,0.024,0.431,0
16.003,6.703,-0.002,0.393,0
-0.302,-4.255,-0.003,0.611,0
-19.681,-0.296,-0.003,0.539,0
-13.466,-0.697,0.045,0.474,0
-16.025,2.789,-0.009,0.432,0
-12.746,4.429,0.025,0.508,0
-9.177,5.190,-0.036,0.577,0
-16.985,3.381,-0.043,0.525,0
15.157,-5.638,-0.001,0.588,0
6.932,-7.816,-0.018,0.657,0
-2.241,7.845,-0.044,0.444,0
15.949,5.204,0.037,0.303,0
4.467,3.987,0.024,0.603,0
7.269,5.060,0.022,0.328,0
8.506,-0.635,0.004,0.688,0
-2.421,-3.246,0.017,0.510,0
-8.273,5.674,-0.016,0.639,0
15.470,0.614,0.006,0.455,0
-5.237,7.386,0.007,0.311,0
-2.528,-4.767,0.028,0.650,0
-8.949,-1.620,0.014,0.593,0
2.146,6.366,-0.015,0.413,0
1.526,-4.520,-0.016,0.597,0
-2.731,3.475,0.034,0.690,0
-5.869,5.486,-0.016,0.301,0
1.670,0.147,-0.019,0.405,0
-4.718,-3.554,0.006,0.678,0
11.164,4.326,-0.032,0.491,0
-13.864,6.382,-0.029,0.358,0
8.818,-7.638,0.015,0.573,0
-11.653,3.223,0.012,0.568,0
17.281,-0.260,0.009,0.320,0
-4.600,1.255,0.047,0.697,0
-7.049,5.731,0.016,0.381,0
16.039,-6.993,0.023,0.643,0
-18.105,-5.824,-0.022,0.366,0
